Layer,Category,Component,Brand,Part Number,Description,Qty Used,Qty Purch.,Unit Cost ($),Ext. Cost ($),Source,Status,Notes / Action
L1 – Core Control,PLC,Allen-Bradley Micro850 PLC,Allen-Bradley,2080-LC50-48QBB,"48-point DC PLC, Ethernet, USB, 24VDC",1,1,,,Vendor/eBay,Confirmed,Backbone controller
L1 – Core Control,SBC,Raspberry Pi 5,Raspberry Pi,SC1112,"16GB, HMI Brain",1,1,,,Vendor,Confirmed,16GB with 128 GB SSD
L1 – Core Control,Microcontroller,ESP32-WROVER Dev Board,Espressif,ESP32-WROVER,"Wi-Fi/BT MCU, MQTT node",2,2,,,Amazon,Confirmed,ESP32-WROVER Dev Board
L2 – Networking,Router,GL.iNet Opal,GL.iNet,GL-SFT1200,"Portable travel router, WPA3, OpenWrt",1,1,,,Amazon,Confirmed,Creates isolated LAN on site
L2 – Networking,Ethernet Switch,TRENDnet Unmanaged Switch,TRENDnet,TI-ELC80,"8-port unmanaged 10/100, DIN-rail mount",1,1,,,Amazon,Confirmed,
L2 – Networking,Patch Cable,Short Ethernet Patch Cables,Generic,—,0.5–1 ft Cat5e/6,3,0,,,—,Confirmed,
L3 – Power Dist.,24V PSU,NVVV HDR-100-24,NVVV,HDR-100-24,"DIN rail, 24 VDC 3.83 A 92 W",1,1,,,Amazon,Confirmed,Amazon-sourced candidate
L3 – Power Dist.,24V PSU,WAGO 787-1200,WAGO,787-1200,"DIN rail, 24 VDC Safety PSU",1,1,,,Vendor/eBay,Confirmed,Safety rail
L3 – Power Dist.,5V PSU,BTF-LIGHTING 5 V 6 A,BTF-LIGHTING,5V-6A-30W,"5 V 6 A 30 W, 5.5x2.1 mm barrel",1,1,,,Amazon,Confirmed,"Pi, Router"
L3 – Power Dist.,AC Inlet,AC Port Plug + Y-Splitter,MICTUNING,15A 250V,Panel-mount AC inlet with Y-splitter,1,1,,,Amazon,Confirmed,AC entry point for case
L3 – Power Dist.,Circuit Breaker,DIN Rail Miniature Breaker,Generic,DZ47-63 C2,"2 A DIN rail MCB, AC branch disconnect",2,4,,,Amazon,Confirmed,Per protected rail
L4 – Protection,Relay Module,WAGO Relay Module,WAGO,857-304,"SPDT relay, 24 VDC coil, 10 A contact",4,4,,,Vendor,Confirmed,Discrete output switching
L4 – Protection,Fuse Terminal,UK5-HESI Fuse Terminal Blocks,EPLZON,UK5-HESI,"5x20 mm fuse holder terminal, DIN rail",8,10,,,Amazon,Confirmed,Per fused branch
L4 – Protection,Fuses,5x20 mm Slow-Blow Fuse Kit,BOJACK,—,"250 V slow-blow glass fuses, 0.5–6 A",2,1 kit,,,Amazon,Confirmed,Populate per circuit
L4 – Protection,E-Stop,22 mm E-Stop Push Button,Generic,—,"22 mm twist-release E-stop, IP65, 2NC 4-pin, 5 A 250 VAC, 7/8"" (18.3 mm) panel hole",1,1,,,Vendor,Confirmed,Safety interlock
L4 – Protection,Flyback Diode,1N4007 Rectifier Diode,Various,1N4007,"1 A 1000 V, relay/solenoid flyback protection",10,20,,,Amazon,Discussed,Across inductive loads
L5 – Wiring Infra.,Signal Terminals,AB 1492-J3 Screw Terminal Block,Allen-Bradley,1492-J3,"Feed-through screw terminal, 2.5 mm², 20 A, 600 V, grey",20,30,,,Vendor,Confirmed,
L5 – Wiring Infra.,Power Terminals,ABB ZK4-4P PI-Spring Clamp,ABB,1SNK706012R0000,"4-conductor PI-spring clamp terminal block, 4 mm², grey - 24 V power distribution",10,12,,,Vendor,Confirmed,
L5 – Wiring Infra.,Ground Terminals,ABB ZK4-PE-4P PI-Spring Clamp,ABB,1SNK706152R0000,"4-pole PE PI-spring clamp, green/yellow - links per-rail AB ground blocks to earth-ground star",1,1,,,Vendor,Confirmed,PE bonding hub
L5 – Wiring Infra.,Ground Terminals,AB 1492-JG3,Allen-Bradley,1492-JG3,"Screw connection PE terminal block, 4 mm², green/yellow - per-rail ground bonding points",6,8,,,Vendor,Confirmed,Per DIN rail
L5 – Wiring Infra.,Ground Terminals,AB 1492-JG4 — AC PE,Allen-Bradley,1492-JG4,"PE terminal block, 6 mm², green/yellow - dedicated AC mains ground landing, tied to per-rail 1492-JG3 blocks",1,1,,,Vendor,Confirmed,AC ground entry point
L5 – Wiring Infra.,DIN Rail,35 mm DIN Rail,Generic,EN 50022,"Standard top-hat DIN rail, cut to length",3 sections,3 sections,,,Vendor,Confirmed,
L5 – Wiring Infra.,Wire Duct,Custom 3D-Printed Wire Duct,Custom,—,"OpenSCAD-designed, PETG printed",custom,—,,,3D Print,Confirmed,Printed on Prusa MK3S
L5 – Wiring Infra.,Hookup Wire,MTW / Control Wire,Various,—,"Multi-colour, 18–22 AWG, stranded",1 spool ea.,—,,,Vendor,Confirmed,"Blue, brown, white/blue, etc."
